month_year,booking_earned_usd,booking_count,is_in_month
2020-03,87875.5634538079,1482,not_in_month
2020-03,84001.6100545386,1482,in_month
2020-04,10183.3779345226,71,not_in_month
2020-04,9359.8101851056,71,in_month
2020-05,4910.5456280451,37,not_in_month
2020-05,7127.9176945954,37,in_month
2020-06,4022.4551785077,56,not_in_month
2020-06,15139.7913753176,56,in_month
2020-07,7088.7663802373,95,not_in_month
2020-07,17355.2600754823,95,in_month
2020-08,9423.3259929481,178,not_in_month
2020-08,18194.1085531088,178,in_month
2020-09,16076.1447565991,123,not_in_month
2020-09,13820.4638516885,123,in_month
2020-10,14655.4801627264,160,not_in_month
2020-10,23212.7005278653,160,in_month
2020-11,16584.7439480392,199,not_in_month
2020-11,24472.2375046568,199,in_month
2020-12,52718.4624657242,339,not_in_month
2020-12,34165.1670592062,339,in_month
2021-01,27342.5153955696,292,not_in_month
2021-01,26357.310659754,292,in_month
2021-02,14793.991216417,173,not_in_month
2021-02,17682.0339214503,173,in_month
2021-03,14701.431762507,188,not_in_month
2021-03,19599.6399924277,188,in_month
2021-04,15643.3957047884,183,not_in_month
2021-04,14164.8422579861,183,in_month
2021-05,19707.3039113456,230,not_in_month
2021-05,23873.7535186851,230,in_month
2021-06,28299.0654731328,289,not_in_month
2021-06,26366.6450568312,289,in_month
2021-07,25542.9016403596,165,not_in_month
2021-07,16327.6413222894,165,in_month
2021-08,13652.8086542178,140,not_in_month
2021-08,11681.3715302743,140,in_month
2021-09,20501.8567752212,55,not_in_month
2021-10,21836.8547467776,39,not_in_month
