month_year,booking_earned_usd
2020-03,171877.1735083465
2020-04,19543.188119628197
2020-05,12038.4633226405
2020-06,19162.2465538253
2020-07,24444.0264557196
2020-08,27617.434546056902
2020-09,29896.6086082876
2020-10,37868.1806905917
2020-11,41056.981452695996
2020-12,86883.62952493041
2021-01,53699.8260553236
2021-02,32476.0251378673
2021-03,34301.0717549347
2021-04,29808.237962774503
2021-05,43581.0574300307
2021-06,54665.710529964
2021-07,41870.542962649
2021-08,25334.1801844921
2021-09,20501.8567752212
2021-10,21836.8547467776
