month_year,booking_earned_usd
2015-01,14067.097835458
2015-02,10765.042857098
2015-03,12612.199999957
2015-04,17934.477272677
2015-05,28660.384848418
2015-06,53825.387878719
2015-07,117902.664285598
2015-08,133315.866666534
2015-09,106553.109523705
2015-10,84345.242857052
2015-11,66420.282142758
2015-12,100017.857575603
2016-01,78268.606168743
2016-02,76349.864213481
2016-03,86469.062243175
2016-04,85324.567698892
2016-05,81287.174242306
2016-06,84143.20595228
2016-07,107701.248809457
2016-08,104116.022077834
2016-09,106071.5007157738
2016-10,85416.586183168
2016-11,81033.78571415
2016-12,92653.57966124
2017-01,105233.92265832
2017-02,79623.210286469
2017-03,93065.885769983
2017-04,119348.671131612
2017-05,106156.215556328
2017-06,103672.136363536
2017-07,126510.730111898
2017-08,168782.895789634
2017-09,122027.272799257
2017-10,100489.816810834
2017-11,70117.639249554
2017-12,73794.643528578
2018-01,72845.032842125
2018-02,62722.7166731129
2018-03,65408.8175382168
2018-04,68804.3038548956
2018-05,72441.1374178623
2018-06,93433.663864086
2018-07,149812.0983830098
2018-08,235116.9626621504
2018-09,219492.561471615
2018-10,216470.7106860912
2018-11,159792.7237976524
2018-12,211215.3391811789
2019-01,202727.2781632785
2019-02,183696.4071744961
2019-03,202488.9758672479
2019-04,264207.3002227089
2019-05,268617.6641505047
2019-06,282527.6176058182
2019-07,366079.4113716257
2019-08,441801.4461025444
2019-09,367617.9997604731
2019-10,322054.4303578825
2019-11,273585.9452791771
2019-12,330912.0023465576
2020-01,342583.0924614943
2020-02,271412.8524343279
2020-03,171878.501688248
2020-04,19543.1881196282
2020-05,12038.4633226405
2020-06,19162.2465538253
2020-07,24444.0264557196
2020-08,27617.4345460569
2020-09,29896.6086082876
2020-10,37868.1806905917
2020-11,41056.981452696
2020-12,86883.6295249304
2021-01,53396.2667976516
2021-02,32433.8331571381
2021-03,34307.7654371347
